Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
VRSK,2015-03-31,2015,Q1,71.04,68.89,0.019,1.61,7,0.60082,0.37917,0.21511,0.2975,0.04104,2.49157,0.63963,0.54325,0.61113,2.90202,2.09834,1.55535,0.05192,0.12937,,5.40868,6.60834
VRSK,2015-06-30,2015,Q2,73.34,70.2,0.0158,1.04,5,0.61035,0.31009,0.329,0.13125,0.02828,0.30122,0.35671,0.57477,0.97454,3.02429,7.58077,0.29971,0.03208,0.00966,,10.72247,20.59636
VRSK,2015-09-30,2015,Q3,73.22,71.31,0.0402,1.07,5,0.61748,0.37922,0.239,0.10034,0.02346,0.90356,0.40095,0.5692,0.7656,3.26849,7.785,0.70583,0.02645,0.0239,,10.87333,14.46778
VRSK,2015-12-31,2015,Q4,77.18,74.18,0.0395,1.06,5,0.61927,0.34869,0.20287,0.08293,0.02034,0.73441,0.40871,0.56236,0.65934,3.3109,8.09954,0.4933,0.02291,0.01683,,11.42585,15.35982
VRSK,2016-03-31,2016,Q1,78.94,77.11,0.0145,1.04,5,0.64826,0.39091,0.18794,0.07176,0.01696,2.95015,0.41414,0.54606,0.54,2.92484,7.66065,1.62172,0.01949,0.0575,,10.88332,14.77535
VRSK,2016-06-30,2016,Q2,79.37,78.23,0.0024,1.39,5,0.64198,0.3837,0.52539,0.18057,0.05541,0.165,0.80778,0.48154,1.52904,2.96085,8.61495,0.25667,0.06366,0.0105,,8.49228,10.8552
VRSK,2016-09-30,2016,Q3,81.49,78.42,-0.0017,1.34,6,0.65931,0.39831,0.25617,0.08648,0.02724,0.38205,0.83434,0.48801,0.74279,2.94953,8.73686,0.28867,0.03086,0.01179,,8.45548,10.6759
VRSK,2017-03-31,2017,Q1,80.82,78.29,0.0397,1.27,6,0.63609,0.37346,0.21647,0.07852,0.02291,2.63581,0.76413,0.48173,0.63943,3.01965,8.32477,1.72297,0.02665,0.07024,,8.73257,11.34257
VRSK,2017-06-30,2017,Q2,83.91,81.4,0.2925,1.28,5,0.62978,0.37271,0.23127,0.08254,0.0247,0.58261,0.70917,0.49062,0.71889,3.1724,8.88843,0.42745,0.02822,0.01644,,9.01117,11.58513
VRSK,2018-12-31,2018,Q4,108.56,105.21,0.4578,1.39,7,0.63512,0.35217,0.23815,0.07061,0.02478,0.66332,0.48656,0.46155,0.87363,3.73545,12.59914,0.59009,0.02786,0.01848,,8.84257,11.95097
VRSK,2019-09-30,2019,Q3,155.59,153.38,-0.054,1.04,6,0.62785,0.11578,0.05041,0.01591,0.00522,4.65273,0.85236,0.46696,0.19727,3.99008,12.64581,0.93578,0.01389,0.02884,1.24012,16.9988,34.79223
VRSK,2019-12-31,2019,Q4,147.87,145.09,-0.0649,1.2,6,0.61613,0.30526,0.19533,0.05847,0.01874,0.84834,0.49933,0.4811,0.79534,4.1448,13.84539,0.68682,0.02853,0.0185,0.30862,10.98451,15.5357
VRSK,2020-03-31,2020,Q1,144.92,135.68,0.2231,1.25,7,0.62641,0.36576,0.24891,0.08253,0.02478,1.80165,0.50942,0.48071,1.03606,4.23465,12.77209,1.89904,0.03734,0.05357,0.25568,9.21048,12.39015
VRSK,2020-06-30,2020,Q2,164.08,165.95,0.0904,1.27,7,0.65262,0.38259,0.2637,0.08226,0.02554,1.07702,0.58961,0.48852,1.08417,4.18053,13.40195,1.18731,0.03735,0.03229,0.24581,8.9848,11.99126
VRSK,2020-09-30,2020,Q3,184.7,180.95,0.1218,1.34,7,0.65846,0.39192,0.26441,0.07674,0.02574,0.76481,0.56202,0.47525,1.12109,4.32425,14.90011,0.87446,0.03671,0.02271,0.23628,8.76146,11.65331
VRSK,2020-12-31,2020,Q4,206.04,202.99,-0.1474,1.1,8,0.70585,0.95084,0.889,0.0653,0.0233,1.00333,0.55507,0.46567,1.06967,1.21839,16.58655,1.08676,0.03314,0.0266,0.24972,12.4679,17.52392
VRSK,2021-03-31,2021,Q1,175.74,173.06,-0.0095,1.33,7,0.63862,0.34486,0.2322,0.06083,0.02159,2.3085,0.64181,0.44366,1.02532,4.46441,17.04051,2.39307,0.03242,0.05851,0.27936,8.93953,12.27757
VRSK,2021-06-30,2021,Q2,174.56,171.42,0.1479,1.38,6,0.64562,0.35773,0.20602,0.05559,0.01996,1.10983,0.61497,0.44227,0.93653,4.59599,17.03252,1.05086,0.03036,0.02581,0.30584,8.44612,11.72475
VRSK,2021-09-30,2021,Q3,203.07,196.77,0.1436,1.41,6,0.65046,0.38063,0.26574,0.07378,0.02632,1.10737,0.50681,0.44417,1.239,4.70358,16.94155,1.38415,0.03773,0.03391,0.23203,8.19166,10.73507
VRSK,2021-12-31,2021,Q4,227.92,225.02,-0.0601,1.28,6,0.65361,0.42781,0.18542,0.04992,0.01817,0.72717,0.49102,0.45677,0.87166,4.74253,17.45405,0.63945,0.02754,0.01503,0.33275,11.30038,10.03621
VRSK,2022-03-31,2022,Q1,213.8,211.5,-0.192,1.7,6,0.64466,0.96768,0.78605,0.18906,0.06201,0.67143,0.46552,0.47458,3.10217,3.98885,16.58448,2.10523,0.07876,0.04818,0.09765,5.07851,5.57838
VRSK,2022-06-30,2022,Q2,169.49,170.9,-0.0132,1.2,6,0.68097,0.40405,0.32294,0.0835,0.02636,0.30827,0.5617,0.49449,1.24369,3.87915,15.00259,0.38618,0.03783,0.00934,0.24861,9.59321,13.05495
VRSK,2022-09-30,2022,Q3,173.98,168.65,0.1291,1.18,6,0.68005,0.41567,0.31044,0.09442,0.02716,1.13391,0.46377,0.52012,1.1989,3.88746,12.67358,1.36843,0.03926,0.03543,0.2566,9.80419,13.21292
VRSK,2023-03-31,2023,Q1,191.92,190.43,0.1799,1.12,7,0.6682,0.45135,0.08671,0.82743,0.01348,5.38094,0.88844,0.73339,0.36998,4.28593,0.4499,1.99973,0.03201,0.09206,0.8708,7.9714,9.66
VRSK,2023-06-30,2023,Q2,224.24,224.69,,1.27,6,0.67867,0.45333,0.29141,1.08497,0.04558,0.68309,1.06743,0.71451,1.35189,4.66049,2.0299,0.9277,0.06998,0.03819,0.25165,7.47351,9.06835
